"Main_business","Product_type","Product_name","Business_range","scrapy_time","code"
"茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业","工业、贸易、房地产、租赁服务业","软饮料    、调味品    、茶制品    、商品房    、物业租赁","一般经营项目：粮油收购和销售、粮油储备；粮油及制品经营及加工；生产茶叶、茶制品、茶及天然植物提取物、食品罐头、饮料、土产品(生产场所营业执照另行申办)；饲料的经营及加工（以外包的方式经营）；粮油物流、饲料物流、茶园等项目投资、经营管理及开发；饲料、茶叶销售；仓储服务；粮食流通服务；现代粮食供应链服务；粮油、茶、植物产品、软饮料和食品的技术开发、技术服务；电子商务及信息化建设，信息技术开发及配套服务；投资兴办实业（具体项目另行申报）；国内贸易；经营进出口业务；在合法取得使用权的土地上从事房地产开发经营；自有物业的开发、经营、租售、管理；物业管理；为酒店提供管理服务。(以上涉及国家法律、行政法规、国务院决定规定须报经审批的项目，须经审批后方可经营)。许可证经营项目：预包装食品（不含复热预包装食品）的批发（非实物方式）；信息服务业务（仅限互联网信息服务业务）；普通货运、专业运输（冷藏保鲜）。","2020-02-26 15:51:41","000019"
"建筑装饰工程设计与施工及建筑相关工程施工","装饰工程施工、工程总承包、工程设计","装饰工程施工    、工程总承包    、工程设计","工程设计与施工，基础设施投资，新能源建设与投资，医疗投资，生命技术研究开发，装备制造，防务装备，金融投资，房地产开发。（最终以工商行政管理部门核准为准）。","2020-02-26 15:51:44","000018"
"精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。","显示器、注塑件、泡沫件","显示器    、注塑件    、泡沫件","生产经营各种彩色电视机、液晶显示器、液晶显示屏（在分支机构生产经营）、收录机、音响设备、电子表、电子游戏机、电脑等各类电子产品及配套的印制线路板、精密注塑件、轻型包装材料（在武汉生产经营）、五金件（含工模具），电镀及表面处理、焊锡丝，房地产开发经营（深房地产第7226760号），物业管理。","2020-02-26 15:51:48","000020"
"混凝土的生产和销售、房地产的开发与销售","房地产、工业、租赁","房地产    、商品混凝土    、物业管理    、租赁","普通货运，货物专用运输（罐式）（凭道路运输经营许可证经营）。一般经营项目：商品混凝土及其原材料的生产、销售（具体生产场地执照另行申办）；水泥制品的生产、销售（具体生产场地执照另行申办）；在合法取得土地使用权的地块上从事房地产开发；物流服务；机电设备维修；物业管理；投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品及限制项目）；经营进出口业务（按深府办函【1994】278号文执行）。","2020-02-26 15:51:53","000023"
"计算机硬件、通讯设备等。","硬盘相关产品、自有产品、OEM产品","硬盘相关产品    、自有产品    、OEM产品","开发、生产、经营计算机软、硬件系统及其外部设备、通讯设备、电子仪器仪表及其零部件、原器件、接插件和原材料，生产、经营家用商品电脑及电子玩具（以上生产项目均不含限制项目）；金融计算机软件模型的制作和设计、精密模具CAD/CAM技术、节能型自动化机电产品和智能自动化控制系统、办公自动化设备、激光仪器、光电产品及金卡系统、光通讯系统和信息网络系统的技术开发和安装工程；商用机器（含税控设备、税控系统）、机顶盒、表计类产品（水表、气表等）、网络多媒体产品的开发、设计、生产、销售及服务；金融终端设备的开发、设计、生产、销售、技术服务、售后服务及系统集成；经营进出口业务；普通货运；房屋、设备及固定资产租赁；LED照明产品的研发、生产和销售，合同能源管理；节能服务、城市亮化、照明工程的设计、安装、维护。","2020-02-26 15:51:59","000021"
"汽车销售、汽车检测维修及配件销售、物业租赁及服务","能源、材料和机械电子设备批发","汽车销售    、汽车维修及检测    、珠宝批发及零售    、物业租赁及服务","投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；自有物业租赁与管理。自营本公司及所属企业自产产品、自用生产材料、金属加工机械、通用零件的进出口业务、进出口业务按深贸管证字第０９８号外贸审定证书办理。","2020-02-26 15:52:00","000025"
"主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售","手表业务、精密制造业务、租赁业务","手表零售服务业务    、手表品牌业务    、精密制造业务    、租赁业务","生产经营各种指针式机械表、石英表及其机心、零部件、各种计时仪器、加工批发K金手饰表、智能手表；国内商业、物资供销业（不含专营、专控、专卖商品）；物业管理及物业租赁；设计服务；自营进出口业务（按深贸管登证字第2007-072号文执行）。","2020-02-26 15:52:03","000026"
"各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等","电力、燃气、蒸汽、运输","电力    、燃气    、蒸汽    、运输","各种常规能源和新能源的开发、生产、购销；投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等。","2020-02-26 15:52:08","000027"
"汽车零部件的生产与销售","零部件","底盘系统    、环境系统    、制动和传动系统    、转向及安全系统    、电子电器系统    、发动机附件系统","汽车零部件及相关产品的研发、设计、制造、销售及售后服务;进出口业务;设备及工艺装备的设计、制造及相关服务;租赁业务、物业服务业务;仓储和配送业务及相关服务。","2020-02-26 15:52:13","000030"
"电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。","模块电源、商业智能终端设备套件、LED照明产品及配件、铁路通讯设备、商品房销售、商品贸易、物业租赁及水电管理费、供应链一体化、物流输运、仓储装卸、智慧城市系统工程","模块电源    、商业智能终端设备套件    、LED照明产品及配件    、铁路通讯设备    、商品房销售    、商品贸易    、物业租赁及水电管理费    、供应链一体化    、物流输运    、仓储装卸    、智慧城市系统工程","研发、生产、销售通信设备、交通通讯设备(生产场地营业执照另行办理)、计算机及软件、办公自动化设备、机械、光机电一体化设备、电子检测设备、税控设备、税控收款机(不含限制项目)、半导体照明产品；电子信息系统工程、建筑智能化工程、机电设备安装工程、变配电工程的规划、设计、安装、调试、集成及技术咨询服务；智能交通设备及产品、通信设备及产品、安防监控系统产品的技术开发、生产制造、调试、销售；软件及网络通讯产品的技术开发、技术服务、技术咨询；监控系统项目的设计、开发、咨询；国内商业、物资供销业(不含专营、专卖、专控商品)；进出口业务按深贸管审证字第523号外贸企业审定证书规定办理；在合法取得使用权的土地上从事房地产开发经营，物业管理及自有物业租赁；兴办实业(具体项目另行申报)；仓储服务、国内外货物运输及代理服务(需许可经营项目另行办理申请)。","2020-02-26 15:52:19","000032"
"房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业","商品房销售、房屋租赁、物业管理","商品房销售    、房屋租赁    、物业管理","房地产开发经营、国内商业、物资供销业（不含专营、专卖、专控商品）、建筑技术咨询、进出口贸易。","2020-02-26 15:52:23","000031"
"云管理服务及数字化方案提供商,IT领域分销和增值服务商","IT分销、自主品牌、云服务","消费电子业务    、企业增值业务    、自主品牌    、云服务","计算机硬件及配套零件的研究、开发；网络产品、多媒体产品、电子信息产品及通讯产品、办公自动化设备、仪器仪表、电器及印刷照排设备、计算机应用系统的安装和维修；自产产品的技术咨询、技术服务、技术转让（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；计算机硬件、软件及外围设施的代理销售；销售自产产品（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；国内贸易（不含专营、专卖、专控商品）。","2020-02-26 15:52:26","000034"
"房地产开发及自有物业租赁管理业务","房产销售、房地产出租、酒店收入","房产销售    、房地产出租    、酒店收入","投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；在具有合法土地使用权的地块上从事房地产开发、经营；自有物业管理；房地产经纪（不含限制项目）。","2020-02-26 15:52:27","000036"
"以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备","垃圾焚烧发电、环保工程设备、房屋租赁、城市环境服务","垃圾焚烧发电    、环保工程设备    、房屋租赁    、城市环境服务","生活垃圾焚烧发电及蒸汽生产，自产产品销售，危险废弃物处理（前述所有范围权限仅限分支机构经营）；生活垃圾焚烧发电、可再生能源项目及环保设施的投资、开发；污泥处理、餐厨垃圾处理、建筑垃圾处理、污水处理、大气环境治理、噪声治理、土壤修复；垃圾焚烧发电成套设备、环保成套设备的研发、生产、销售；填埋气开发与利用；垃圾分类收运体系投资与运营；企业管理咨询服务；自营和代理上述商品和技术的进出口业务；道路普通货物运输；生活垃圾经营性清扫、收集、运输、处理服务；道路清扫保洁；河道保洁、绿化管护；物业管理。（不得以公开方式募集资金；不得公开交易证券类产品和金融衍生品；不得发放贷款；不得从事融资性担保；不得向投资者承诺投资本金不受损失或者承诺最低收益；依法须经批准的项目，经相关部门批准后方可开展经营活动）。","2020-02-26 15:52:29","000035"
"生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务","电力销售、工程劳务、污泥干化","电力销售    、工程劳务    、污泥干化","供电、供热,提供相关技术咨询和技术服务。","2020-02-26 15:52:35","000037"
"主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务","集装箱、道路运输车辆、能源、化工、液态食品装备、海洋工程、空港设备、物流服务、金融、房地产、重卡","集装箱    、道路运输车辆    、能源    、化工    、液态食品装备    、海洋工程    、空港装备    、物流服务    、金融    、房地产    、重卡","现代化交通运输装备、能源、食品、化工等装备的制造及服务业务,其中主要包括制造修理各种集装箱及其有关业务,利用现有设备加工制造各类零部件结构件和有关设备,并提供切割、冲压成型、铆接表面处理,包括喷沙喷漆、焊接和装配等加工服务;开发、生产、销售各种高技术、高性能的专用汽车、半挂车系列;集装箱租赁;压力容器、压缩机等高端燃气装备产品的研发、生产、销售及天然气输配系统的集成业务;静态储罐、罐式码头设备的生产;在LNG、LPG及其他石油化工气体的存贮、处理领域,为客户提供EP+CS(设计、采购和建造监工)等技术工程服务。除此之外,本集团还从事物流服务、海洋工程、铁路货车制造、房地产开发等业务。","2020-02-26 15:52:43","000039"
"房地产开发、物业租赁经营、酒店经营、建筑施工。","房地产、服务、酒店、施工","房地产    、服务    、酒店    、施工","房地产开发及商品房的销售、管理；承接建筑安装工程；自有物业租赁。","2020-02-26 15:52:45","000042"
"以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。","物业及租赁、纺织品、偏光片、贸易","物业及租赁    、纺织品    、偏光片    、贸易","生产、经营偏光片等光学膜产品；酒店、物业租赁与经营管理；生产、加工纺织品、针织品、服装、装饰布、带、商标带、工艺品（不含限制项目）；百货、纺织工业专用设备，纺织器材及配件、仪表、标准件、纺织原材料、染料、电子产品，化工产品、机电设备、轻纺产品、办公用品及国内贸易（不含专营、专控、专卖商品）；经营进出口业务。","2020-02-26 15:52:49","000045"
"物业资产管理业务","建筑业、房地产、物业、餐饮等服务","建筑业    、房地产    、物业    、餐饮等服务","物业资产管理(物业管理、设备设施管理、资产经营以及服务外包等)；商业物业资产的投资与经营；项目开发服务（项目咨询、开发服务）；房地产开发、经营；创新项目孵化。","2020-02-26 15:52:54","000043"
"金融、房地产、战略投资等业务","房地产销售、物业出租、物业管理、装修工程、金融投资","房地产销售    、物业出租    、物业管理    、装修工程    、金融投资","投资及投资管理；资产管理；经营房地产业务及物业管理；自有物业租赁；企业管理咨询；销售建筑材料、装饰材料、机械设备（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动）。","2020-02-26 15:53:00","000046"
"交通运输、自来水供应，房地产开发、物业管理，肉猪、肉鸡养殖，饲料生产销售","全价饲料、浓缩料、预混饲料、自来水、出租车客运服务、禽业产品、猪业产品、房屋及土地租赁、物业管理、商品房、成品鱼、金融、装修、商业贸易","全价饲料    、浓缩料    、预混饲料    、自来水    、出租车客运服务    、禽业产品    、猪业产品    、房屋及土地租赁    、物业管理    、商品房    、成品鱼    、金融    、装修    、商业贸易","养殖鸡、鸡苗、禽蛋、生产制造肉制品、饮料、鸡场设备、自酿鲜脾兴办实业（具体项目另行申报）；国内商业、非银行金融业（以主管部门审批为准）；国内商业、物资供销业（不含专营、专控、专卖商品）；货物及技术进出口；在合法取得使用权的土地上从事房地产开发经营；房屋租赁。","2020-02-26 15:53:04","000048"
"生产制造电源管理系统及各类锂电池","电池及配件","移动电源管理系统组件及锂电池封装业务","无汞碱锰电池、一次锂电池、锌空气电池、镍氢电池、锂聚合物电池、燃料电池及其他种类电池、电池材料、配件和设备的研究、开发和销售；电源管理系统和新型电子元器件的开发、测试及销售；移动通讯产品及配件的开发及销售；高科技项目开发、投资、咨询、高科技企业投资。","2020-02-26 15:53:06","000049"
"从事液晶显示器及相关材料、设备、产品的设计、制造、销售","电子元器件","显示屏    、显示模组","显示器件及相关的材料、设备、产品的设计、制造、销售；提供相关技术开发、技术咨询、技术服务和技术转让；信息技术服务、咨询服务；普通货运；代理销售、代理采购显示器件及相关材料（不含限制项目）；设备租赁（不含金融租赁）；自有物业租赁；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。","2020-02-26 15:53:07","000050"
"商业不动产运营管理业务、资产管理业务以及各配套服务业务","商业运营服务、金融服务、融资租赁服务、其他","商业运营服务    、金融服务    、融资租赁服务    、其他","经销日用百货、文化用品、纺织品、服装、劳保用品、家用电子产品、交通器材、五金工具、家用电器、日用美术陶瓷、家具、糖果糕点、饮料、干鲜果品、进出口业务按深贸管审证字第012号外贸企业审定证书办理(凡属专营商品按规定办)、土产品、装饰材料、糖、工艺美术品、副食品、五金杂品。","2020-02-26 15:53:09","000056"
"生产和经营新型建筑材料。","金属制造业、轨道交通业、新能源产业、房地产业","幕墙系统及材料    、地铁屏蔽门及服务    、光伏发电及LED产品    、房产销售","（1）幕墙分部，建筑幕墙及材料的研发、设计、生产、施工和销售；（2）轨道交通分部，地铁屏蔽门的研发、设计、生产、施工和销售；（3）房地产分部，在合法取得使用权的土地上从事房地产开发经营、物业管理；（4）新能源分部，光伏电站、光伏建筑一体化（BIPV）等的研发、设计、生产、施工、运营及销售。","2020-02-26 15:53:15","000055"
"电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。","电子市场经营及物业出租服务、贸易业、酒店业、电子商务业务、金融业","电子市场经营及物业出租服务    、贸易业    、酒店业    、电子商务业务    、金融业","投资兴办实业（具体项目另行申报）；经营与管理电子专业市场；经营网上贸易；互联网技术开发；从事广告业务；房屋租赁；销售计算机、软件及辅助设备、电子产品；文化艺术交流活动策划（不含演出）；承办展览展示活动；儿童产业链项目的投资及经营；儿童游乐设备租赁服务（不包括金融租赁活动）；游乐场经营及服务（限分支经营）；餐饮服务（限分支经营）；企业管理咨询；教育咨询；预包装食品兼散装食品、乳制品（含婴幼儿配方奶粉）批发零售（限分支经营）；文化用品、工艺礼品、玩具、童装、电子产品、工艺品、日用百货的销售；摄影服务；新能源的技术开发；光伏发电和光伏一体化建筑工程总承包；碲化镉薄膜太阳能电池组件的技术开发、技术服务；投资建设光伏电站、承接建筑一体化光伏幕墙工程；国内贸易（不含专营、专卖、专控商品）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）^信息服务业务（仅限互联网信息服务）；食品销售；制造、销售碲化镉太阳能电池组件产品。","2020-02-26 15:53:16","000058"
"石油化工产品、化学肥料的生产与销售。","石化板块产品、化肥板块产品","柴油    、聚乙烯    、聚丙烯    、聚苯乙烯    、ABS    、船用燃料油    、工业硫磺    、石油甲苯    、石油混合二甲苯    、尿素    、甲醇    、液氨","生产销售液氨、压缩氮气、液氧、尿素、液氩、1.3—丁二烯、石脑油、煤油、液化石油气、工业硫磺、氢气、甲苯、乙烯、丙烯、苯、富氢甲烷、乙苯、苯乙烯、粗甲苯、混合苯、混合苯1#、混合苯3#、焦油（安全生产许可证有效期至2021年6月7日止）；石油产品及化工产品销售（除易燃易爆危险品）；塑料制品、建安工程、压力容器制造、普通货物运输（以上各项限分公司经营）。","2020-02-26 15:53:19","000059"
"农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。","农产品批发市场经营、农产品加工生产、市场配套服务","农产品批发市场经营    、农产品加工生产    、市场配套服务","开发、建设、经营、管理农产品批发市场（农产品批发市场的营业执照需另行申办），经营管理市场租售业务；国内商业、物资供销业（不含专营、专控、专卖商品）；经营农产品、水产品的批发、连锁经营和进出口业务（具体经营需另行办理营业执照）；为农产品批发市场提供配套的招待所、小卖部、食店、运输、装卸、仓储、包装（具体项目营业执照另行申报）；从事信息咨询（不含法律、行政法规、国务院决定禁止及规定需审批的项目）、物业管理、酒店管理；自有物业租赁：市场投资、投资兴办实业（具体项目另行申报）。","2020-02-26 15:53:22","000061"
"有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等","精矿产品、冶炼产品、铝型材、幕墙门窗、电池材料、商品房销售、有色金属贸易业务","精矿产品    、冶炼产品    、铝型材    、幕墙门窗    、电池材料    、商品房销售    、有色金属贸易业务","兴办实业（具体项目另行申报）；国内贸易（不含专营、专控、专卖商品）；经济信息咨询（不含限制项目）；经营进出口业务；在韶关市设立分公司从事采癣冶炼、制造、加工：有色金属矿产品、冶炼产品、深加工产品、综合利用产品（含硫酸、氧气、硫磺、镓、锗、电炉锌粉的生产）及包装物、容器（含钢提桶、塑料编织袋）（以上经营范围仅限于分支机构生产，其营业执照另行申报）；建筑材料、机械设备及管道安装、维修；工程建设、地测勘探、科研设计；从事境外期货业务。","2020-02-26 15:53:28","000060"
"面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、交易信息服务和创新创业配套服务，打造面向电子信息产业的国内一流交易服务和创新创业服务双平台。","电子元器件线下分销分部、电子元器件线上交易平台分部、电子元器件及终端产品线下交易平台分部、终端产品线上分销分部","电子元器件线下分销分部    、电子元器件线上交易平台分部    、电子元器件及终端产品线下交易平台分部    、终端产品线上分销分部","投资兴办各类实业（具体项目须另行申报），国内贸易（不含专营、专控、专卖商品及限制项目）；经济信息咨询（不含限制项目）；自有物业管理；计算机软、硬件及网络、通信产品、激光头及其应用产品的技术开发及销售（不含限制项目）；投资兴办电子专业市场；投资电子商务网；从事广告业务（法律法规、国务院规定需另行办理广告经营审批的，需取得许可后方可经营）","2020-02-26 15:53:32","000062"
"国际工程承包、国内建筑工程、重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能","国际工程承包、国内建筑工程、房地产销售、货物贸易、货运代理、金属包装容器","国际工程承包    、国内建筑工程    、房地产销售    、货物贸易    、货运代理    、金属包装容器","各类型工业、能源、交通、民用工程建设项目的施工总承包；承包境外工程及境内国际招标工程；上述境外工程所需的设备、材料出口；对外派遣实施上述境外工程所需的劳务人员；自营和代理各类商品及技术的进出口业务，但国家限定公司经营或禁止进出口的商品及技术除外；经营进料加工和“三来一补”业务；经营对销贸易和转口贸易；铝型材、铝门窗、铝制品、建筑幕墙和室内外装饰工程设计、制作、施工、机械安装及修理。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）","2020-02-26 15:53:33","000065"
"设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端","运营商网络、消费者业务、政企业务","ICT    、ICT解决方案","生产程控交换系统、多媒体通讯系统、通讯传输系统；研制、生产移动通信系统设备、卫星通讯、微波通讯设备、寻呼机，计算机软硬件、闭路电视、微波通信、信号自动控制、计算机信息处理、过程监控系统、防灾报警系统等项目的技术设计、开发、咨询、服务，铁路、地下铁路、城市轨道交通、公路、厂矿、港口码头、机场的有线无线通信等项目的技术设计、开发、咨询、服务（不含限制项目）；电子设备、微电子器件的购销（不含专营、专控、专卖商品）；承包境外通讯及相关工程和境内国际招标工程，上述境外工程所需的设备、材料进出口、对外派遣，实施上述境外工程的劳务人员；电子系统设备的技术开发和购销（不含限制项目及专营、专控、专卖商品）；经营进出口业务（按贸发局核发的资格证执行）；电信工程专业承包（待取得资质证书后方可经营）；自有房屋租赁。新能源发电及应用系统的技术设计、开发、咨询、服务。","2020-02-26 15:53:38","000063"
"节能环保和新材料","环保设备及材料、技术咨询规划服务、电子元器件、仓租服务业","环保设备及材料    、技术咨询规划服务    、电子元器件    、仓租服务业","受托资产管理、投资咨询、企业管理咨询、经济信息咨询（不含限制项目）；市场营销策划；投资兴办实业（具体项目另行申报）；国内贸易（不含专营、专卖、专控商品）；货物及技术进出口业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请）。","2020-02-26 15:53:43","000068"
"计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。","高新电子、信息安全整机及解决方案、电源产品、园区及物业服务","高新电子    、信息安全整机及解决方案    、电源产品    、园区及物业服务","计算机软件、硬件、终端及其外部设备、网络系统及系统集成、电子产品及零部件、金融机具、税控机具、计量仪表、安防产品、移动通讯设备、无线电话机（手机）、通信及网络产品、数字音视频产品的技术开发、生产、加工、销售及售后服务，并提供相关的技术和咨询服务；经营自行开发的电子出版物、零售各类软件及电子出版物；投资兴办实业（具体项目另行申报）；自营进出口业务（具体按深贸营登证字第49号文执行）；房地产开发经营；房屋、设备等固定资产租赁、物业管理及相关服务业务；国内商业、物资供销业（不含专营、专控、专卖商品）。（依法须经批准的项目，经相关部门批准后方可开展经营活动；法律、法规规定无需许可（审批）的，市场主体自主选择经营。）","2020-02-26 15:53:46","000066"
"主题公园、酒店服务、房地产开发、纸包装等","旅游综合业务、房地产、纸包装","旅游综合业务    、房地产    、高档胶版纸    、白卡纸    、铜版纸    、轻涂纸    、生活纸    、静电复印纸    、热敏纸    、格拉辛纸","旅游及其关联产业的投资和管理；房地产开发；自有物业租赁；酒店管理；文化活动的组织策划；会展策划；旅游项目策划；旅游信息咨询；旅游工艺品的销售；投资兴办实业（具体项目另行申报）；国内商业（不含专营、专控、专卖商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。","2020-02-26 15:53:49","000069"
