股票代码,产品名称
000069,格拉辛纸
000070,光纤光缆销售
000070,通信设备销售
000070,电子设备销售
000070,物业租赁
000078,博宁
000078,艾克博康
000078,银可络
000078,银得菲
000078,泰瑞宁
000078,阿昔洛韦片
000078,抒瑞
000078,流感疫苗
000078,葡萄糖注射液及氯化钠注射液
000078,硫酸庆大霉素及硫酸阿米卡星
000078,复方甘草片和口服溶液
000078,醋酸泼尼松片
000078,鼻渊胶囊
000078,胜红清热胶囊
000078,苋菜黄连素胶囊
000078,祛伤消肿酊
000078,海菊颗粒
000078,海王金樽
000088,投资港口货物装卸与运输服务
000088,码头建设工程管理
000088,收费高速公路
000088,桥梁运营
000088,海关监管仓
000088,其他港口配套仓储经营
000089,航空主业
000089,航空增值
000089,航空物流
000089,航空广告
000096,成品油
000096,液体化工仓储
000096,危化品
000096,PVC贸易
000096,便利店
000096,物业租赁
000099,海上石油
000099,港口引航
000099,陆上通航
000099,通航维修
000099,通航培训
000099,融资租赁
000100,LCD电视机
000100,智能电视
000100,3D电视
000100,智能手机
000100,液晶面板
000100,空调
000100,冰箱
000100,洗衣机
000150,医疗机构投资及运营
000150,养老社区投资及运营
000150,医疗后勤综合服务
000150,医疗专业工程
000151,成套设备出口和工程承包
000151,一般贸易
000151,境外实业经营
000153,生物药及制剂
000153,化学合成药及制剂
000153,中药及制剂
000153,药品零售
000153,药品批发
000155,贸易业务
000155,电力销售
000155,三聚氰胺
000155,硫酸钾
000156,数字电视
000156,网络接入
000156,节目传输
000156,互动电视业务
000156,广告业务
000156,宽带及数据通信业务
000156,设备销售及租赁
000156,项目类及集成业务
000156,云宽带对外合作业务
000156,手机电视业务
000156,互联网电视公网业务
000156,互联网电视专网业务
000157,混凝土机械
000157,起重机械
000157,环境产业
000157,农业机械
000157,金融服务
000090,建筑施工
000090,房地产销售
000090,物业租赁
000090,棚改项目管理服务
000158,坯布
000158,棉纱
000158,棉花
000158,系统集成及行业解决方案服务
000158,代理产品增值销售
000158,定制软件及服务
000166,证券经纪业务
000166,融资融券业务
000166,证券自营业务
000166,证券承销与保荐业务
000166,证券资产管理业务
000166,基金管理业务
000166,股票期权做市业务
000166,期货经纪业务
000166,直接投资业务
000166,创新投资业务
000159,油品销售
000159,房地产销售
000301,化学纤维(涤纶长丝)
000301,聚酯切片
000301,真丝绸
000301,棉织品
000301,电绣品
000301,电力
000301,热蒸汽
000301,商业房
000301,住宅商品房;营业房出租
000333,暖通空调
000333,消费电器
000333,机器人及自动化系统
000400,智能变配电系统
000400,直流输电系统
000400,智能中压供用电设备
000400,智能电表
000400,电动汽车智能充换电系统
000400,EMS 加工服务
000338,全系列发动机
000338,重型汽车
000338,轻微型车
000338,工程机械
000338,液压产品
000338,汽车电子及零部件
000338,叉车生产
000338,仓库技术及供应链解决方案服务
000401,中标通用硅酸盐水泥
000401,英标通用硅酸盐水泥
000401,美标通用硅酸盐水泥
000401,道路
000401,核电
000401,油井
000401,博格板超早强等专用水泥
000401,中热/低热
000401,抗硫酸盐等特种水泥
000402,房产开发
000402,物业租赁
000402,物业经营
000403,人血白蛋白
000403,静注人免疫球蛋白(pH4)
000403,人免疫球蛋白
000403,乙型肝炎人免疫球蛋白
000403,破伤风人免疫球蛋白
000403,狂犬病人免疫球蛋白
000404,压缩机
000404,智能扫地机
000407,天然气业务
000407,天然气管道制造业
000407,成品油贸易业务
000408,钾肥(氯化钾)
000409,铁矿石采选
000409,黄金采选
000409,医药产品
000409,特种轮胎
000409,房地产
000409,油品加工贸易
000410,数控机床
000410,普通车床
000410,普通镗床
000410,普通钻床
000411,药品销售
000411,医疗器械
000416,典当
000416,保险经纪
000416,投资与资产管理
000416,商品零售
000415,融资租赁
000415,融资租赁咨询
000415,经营租赁
000415,集装箱租赁
000415,飞机销售
000417,百货业（含家电）
000417,超市业
000417,农产品交易市场
000417,房地产
000419,电器
000419,百货销售
000419,酒店旅游
000419,典当
000419,保理
000420,粘胶长丝
000420,醋酐
000421,汽车营运
000421,房产开发
000421,汽车销售
000421,旅游服务
000421,电力销售
000421,燃气销售
000421,工程施工
000422,尿素
000422,氯碱产品
000422,磷酸二铵
000422,精细化工产品
000422,电力产品
000422,贸易业务
000425,起重机械
000425,铲运机械
000425,压实机械
000425,路面机械
000425,桩工机械
000425,消防机械
000425,环卫机械
000423,阿胶
000423,复方阿胶浆
000423,阿胶糕
000426,锌精粉
000426,铁精粉
000426,铅精粉
000426,电解铜
000426,铜精粉
000426,粗铅
000426,铅锭
000428,餐饮
000428,客房
000428,娱乐
000428,酒店资产管理
000428,售房
000429,公路运输
000430,旅行社服务
000430,环保客运服务
000430,观光电车门票
000430,宝峰湖景区门票
000430,杨家界索道
000430,张国际酒店
000430,房屋租赁
000430,大庸古城游船
000488,双胶纸
000488,铜版纸
000488,白卡纸
000488,静电纸
000488,防粘原纸
000488,新闻纸
000488,生活纸
000488,轻涂纸
000488,书写纸
000488,其他机制纸
000488,融资租赁
000488,电力及热力
000488,建筑材料
000488,化工用品
000488,酒店
000488,镁矿
000498,路桥工程施工
000498,路桥养护施工
000498,周转材料及设备租赁销售
000498,商品混凝土加工销售
000498,工程设计咨询
000501,商品销售
000502,誉晖花园
000502,天誉江南花园
000502,金碧御水山庄
000502,物业管理
000502,医疗
000503,药品及医疗器械招标代理
000503,健康保障服务
000504,节能产品销售
000504,EMC及工程建设
000504,节能产业其他服务
000504,细胞储存及检测
000504,生物医药相关产品销售
000504,广告
000504,服务及发行
000505,大豆油
000505,菜籽油
000505,葵花籽油
000505,香油
000505,麻酱
000506,房地产
000506,黄金
000509,大宗商品贸易收入
000509,医疗服务
000509,园林工程
000509,房租
000507,码头运营服务
000507,物流贸易
000507,进出口贸易
000507,物流服务
000507,物业管理及其他
000507,综合能源
000507,饮料食品
000510,PVC树脂
000510,烧碱
000513,参芪扶正注射液
000513,丽珠得乐（枸橼酸铋钾）系列产品
000513,抗病毒颗粒
000513,丽申宝（注射用尿促卵泡素）
000513,乐宝得（注射用尿促性素）
000513,壹丽安（艾普拉唑肠溶片）
000513,丽福康（注射用伏立康唑）
000513,丽康乐（注射用鼠神经生长因子）
000513,贝依（注射用亮丙瑞林微球）
000513,美伐他汀
000513,硫酸粘菌素
000513,苯丙氨酸
000513,头孢曲松钠
000513,HIV抗体诊断试剂
000513,肺炎支原体抗体诊断试剂
000513,梅毒螺旋体抗体诊断试剂
000514,住宅销售
000514,商业销售
000514,物业管理
000514,房屋租赁
000514,会议展览
000514,石黄隧道经营权
000517,房地产销售
000517,物业管理
000517,房屋租赁
000516,现代医学技术转化应用
000516,大健康医疗服务
000518,白介素
000518,EPO
000518,G-CSF
000518,片剂
000518,保健品
000518,原料药
000518,针剂
000518,玻瓶输液
000518,软袋输液
000518,糖浆剂
000518,苗木
000519,超硬材料及其制品
000519,特种装备
000519,改装汽车
000519,汽车零部件
000520,干散货运输
000520,船员派遣服务
000520,资产出租
000521,冰箱
000521,冰柜
000521,空调
000521,洗衣机
000521,小家电及厨卫
000525,除草剂
000525,杀虫剂
000525,杀菌剂
000525,动物营养
000525,日化护理
000525,中间体
000526,个性化1对1智能辅导
000526,个性化小组课
000526,国际教育
000526,房屋租赁
000526,设备租赁
000523,工业产品
000523,民用产品
000529,冻品销售
000529,冷库经营
000529,物业出租
000529,种禽销售
000529,种猪销售
000529,肉猪销售
000529,猪苗销售
000529,肉鸡销售
000529,加工肉制品销售
000529,国内贸易
000529,图书发行
000529,酒类销售
000528,装载机
000528,挖掘机
000528,起重机
000528,压路机
000528,叉车
000528,平地机
000528,推土机
000528,铣刨机
000528,摊铺机
000528,滑移装载机
000528,挖掘装载机
000528,矿用卡车
000528,高空作业平台
000528,桩工机械
000528,融资租赁
000530,制冷空调设备
000531,电力
000531,蒸汽
000531,房地产
000532,电子设备
000532,电子器件销售
000532,污水处理
000532,投资与管理
000533,变压器系列产品
000533,大宗贸易及供应链服务系列产品
000534,常州太湖庄园项目销售
000534,金属检测
000534,高温材料销售
000536,模组
000536,盖板玻璃
000536,面板
000537,商品房
000537,酒店餐饮
000537,酒店客房
000537,不动产出租
000537,物业费
000537,酒店其他营运
000538,云南白药
000538,天然植物药
000539,售电
000539,蒸气
000539,劳务
000539,核证减排量销售
000539,租赁
000539,粉煤灰综合利用
000540,住宅
000540,公寓
000540,商业
000540,写字楼
000540,车库车位
000540,房屋租赁
000540,物业管理
000540,健身娱乐
000540,教育服务
000540,酒店及餐饮服务
000540,非保险合同服务
000541,LED光源
000541,LED灯具
000541,LED汽车照明
000541,传统照明
000541,开关
000541,插座
000544,城市污水处理
000544,集中供热业务
000544,管网工程
000543,电力
000543,供热
000543,煤炭
000543,运输
000545,锐钛型钛白粉
000545,金红石型钛白粉
000546,水泥
000546,商品混凝土
000546,固废危废资源化综合利用
000547,通信指控产品
000547,电子蓝军及仿真产品
000547,电磁安防产品
000548,路桥收费
000548,房地产开发
000548,酒店经营
000551,高压电瓷
000551,洁净环保设备
000551,测绘仪器
000551,轴承滚针
000551,磨具磨料
000551,代理出口贸易
000550,JMC品牌轻型卡车
000550,重型卡车
000550,皮卡
000550,轻型客车
000550,驭胜品牌SUV
000550,福特品牌轻客
000550,MPV
000550,SUV产品
000550,发动机
000550,铸件
000550,配件
000552,煤炭
000552,发电
000553,除草剂
000553,杀虫剂
000553,化工产品
000555,系统集成
000555,软件开发及技术服务
000554,汽油
000554,柴油
000554,天然气
000554,非油品
000557,货运
000557,服务业
000557,葡萄酒
000559,汽车零部件
000559,钢材
000559,铁合金
000558,体育运营
000558,房地产销售
000558,能源及贸易销售
000558,租赁
000560,资产管理
000560,经纪业务
000560,新房业务
000560,商品销售
000560,商业租赁及服务
000560,房地产开发
000560,物业服务
000560,旅游服务
000563,金融信托业务
000561,短波通信设备
000561,超短波通信设备
000561,航空搜救定位设备
000561,车机内音频控制系统
000561,无线射频识别系统
000561,电声器材
000565,“三峡”牌防腐漆
000565,汽车漆
000565,通用漆
000565,建筑漆
000565,家具漆
000564,中国集
000564,酷铺商贸
000564,掌合天下
000564,大集供销链
000564,大集金服及民生百货
000566,注射用头孢西丁钠
000566,注射用头孢唑肟钠
000566,注射用头孢呋辛钠
000566,注射用头孢孟多酯钠
000566,注射用头孢曲松钠
000566,头孢克洛颗粒
000566,7-ANCA
000566,头孢西丁钠
000566,头孢西丁酸
000566,头孢唑肟钠氨曲南
000566,美罗培南
000566,肠胃康系列
000566,紫杉醇注射液
000566,REZ-I型
000566,人工耳蜗
000566,注射用氨曲南
000566,注射用美罗培南
000566,注射用维生素C
000567,不良资产管理
000570,柴油机
000570,汽油机
000568,高档酒类
000568,中档酒类
000568,低档酒类
000572,整车
000572,配件销售
000572,劳务
000571,食品
000571,煤炭
000571,物流运输
000571,电动车
000571,游艇销售
000576,制糖产品
000576,生化产品
000576,军工产品
000576,造纸产品
000576,LED产品
000573,出租
000573,售楼
000573,水电
000573,煤
000573,废旧铅蓄电池回收
000582,装卸堆存
000582,商品贸易销售
000582,拖轮及港务管理
000582,物流代理业务
000581,汽车燃油喷射系统
000581,汽车后处理系统
000581,进气系统
000585,封闭母线
000585,电力电容器
000584,高端装备制造
000584,机器人一站式平台
000584,房地产
000584,氨纶
000586,光纤
000586,光缆及相关产品
000586,通信工程及系统集成
000587,黄金类业务
000587,铂金类业务
000587,白银类业务
000587,镶嵌类业务
000587,18K金饰品
000587,工艺美术品
000587,电解铜
000587,融资租赁业务
000587,短融业务
000590,中药及保健品
000590,西药类
000590,医药批发零售
000589,轮胎销售
000589,混炼胶
000591,太阳能发电
000591,太阳能产品制造
000592,林木原木
000592,纤维板
000592,混凝土
000592,建材城开发项目
000593,商业零售
000593,燃气供应
000595,轴承
000595,船舶电器及汽车前轴
000595,煤机刮板
000596,古井贡酒
000597,维生素C
000597,左卡尼汀
000597,磷霉素
000597,氯霉素
000597,卡孕栓
000597,吡拉西坦系列
000597,长春西汀
000597,齐多夫定
000597,拉米夫定
000597,司他夫定
000597,去羟肌苷
000597,哈特/去羟肌苷片
000597,克度/齐多夫定片
000597,克度/齐多夫定胶囊
000597,沙之/司他夫定片
000597,司他夫定散
000597,硫酸茚地那韦胶囊
000597,盐酸金刚烷胺
000597,盐酸金刚乙胺
000597,金刚烷胺微粉
000597,地衣芽孢杆菌（整肠生）
000597,复方丙谷胺西咪替丁片（珍稀渭）
000597,黄连素片
000597,盐酸吗啡注射液
000597,盐酸哌替啶注射液
000597,复方磷酸可待因糖浆（可非）
000597,复方甘草片
000597,双扑伪麻片
000597,谷维素片
000597,阿斯匹林肠溶片
000597,去痛片
000597,HIV诊断试剂
000597,HBV诊断试剂
000597,HCV诊断试剂
000597,HPV诊断试剂
000597,TB分子诊断试剂
000599,轮胎
000599,橡塑机械
000599,铸造机械
000598,自来水制售
000598,污水处理服务
000598,供排水管网工程
000598,垃圾渗沥液处理
000598,污泥处置
000600,发电业
000600,酒店业
000600,供暖
000600,售电服务
000600,商贸流通
000601,电力
000601,汽车零配件(精密制造)
000601,环保纸餐具
000601,本色消费类用纸
000601,钢材
000601,煤炭等产品贸易
000603,含银铅精粉
000603,含银锌精粉
000603,有色金属贸易
000603,银锭
000603,黄金
000605,原水
000605,自来水
000605,污水处理
000605,工程
000606,企业互联网服务
000606,明胶系列产品
000606,硬质胶囊
000606,肠衣
000607,广告及策划业
000607,新媒体
000607,户外广告
000607,报刊及发行
000607,信息服务
000607,教育
000608,成都锦尚中心项目
000608,北京阳光上东项目
000608,商业出租
000609,房地产开发
000610,出境游
000610,入境游
000610,国内游
000610,商务会奖旅游
000610,票务代理
000610,酒店业
000611,纺织品
000611,铁合金
000613,客房
000613,餐饮娱乐
000612,铝锭
000612,铝液
000612,铝合金
000616,房地产业务
000616,基金管理与投资业务
000616,养老业务
000615,粘胶系列
000615,房地产销售
000619,白色
000619,彩色
000619,木纹共挤
000619,木塑复合和覆膜异型材
000619,系统门窗
000619,被动窗
000619,卷帘窗
000619,百叶窗
000619,铝材
000619,家居板材
000619,管材
000619,建筑模板
000619,生态地板
000617,银行业务
000617,财务公司业务
000617,金融租赁业务
000617,信托业务
000617,保险业务
000617,保险经纪业务
000617,证券业务
000617,信用增进业务
000620,商品房销售
000620,建筑
000620,装修业
000622,乙二醇
000622,氯化钴
000622,三元前驱体
000622,金属镍
000622,煤炭
000622,金属钴
000622,国债逆回购
000622,车用空调
000625,轿车
000625,SUV
000625,MPV
000625,交叉型乘用车
000625,客车
000625,货车
000623,中成药
000623,化学药品
000623,食品
000626,塑胶类商品贸易
000626,橡塑类商品贸易
000626,液化类商品贸易
000626,金属类商品贸易
000626,物流代理服务
000627,保险
000627,医药
000627,化工
000629,钒产品
000629,钛精矿
000629,钛渣
000629,钛白粉
000629,电
000629,钢材及钢材制品
000628,建筑业，期货业务
000628,厨柜制造
000628,旅游酒店业务
000631,房地产开发
000631,物业服务管理
000631,经营性租赁
000630,阴极铜
000630,硫酸
000630,黄金
000630,白银
000630,铜线
000630,铜板带
000630,铜箔
000632,建筑材料和金属材料
000632,商品房及土地开发
000632,化工产品
000632,日用百货
000632,船舶物料
000632,食品与食品加工
000632,物管
000632,租赁
000632,酒店服务
000632,旅游服务
000633,合金线
000633,合金棒材
000635,pvc
000635,ppvc
000635,烧碱
000635,电石
000635,双氰胺
000635,石灰氮
000637,聚丙烯
000637,液化石油气
000637,商品丙丁烷混合物
000637,醋酸仲丁酯
000637,甲基叔丁基醚
000637,溶剂油
000637,乙醇胺
000637,异丁烷
000637,精丙烷
000637,加油服务
000637,液化石油气装车服务
000636,片式电容器
000636,片式电阻器
000636,FPC线路板
000638,木材类
000638,钢材类
000638,咨询服务
000638,基金管理及销售 医疗软硬件
000638,系统集成销售及维护
000650,药品
000650,健康相关产品
000639,玉米油
000639,葵花籽油
000639,玉米橄榄油
000639,哈恩牌橄榄油
000639,亚麻籽油
000639,营养补给品
000652,化工制品贸易
000652,金属制品贸易
000652,广陵新城项目
000652,商品房
000652,垃圾处理发电
000652,纺织滤材
000651,空调
000651,生活电器
000651,智能装备
000656,房地产销售
000656,风能投资开发
000656,物业管理
000656,酒店经营
000656,园林工程
000656,装饰工程
000656,材料销售
000655,铁精粉
000655,铜精粉
000655,钴精粉
000655,酸性氧化球团
000655,铲运机
000655,破碎机
000655,矿车
000655,罐笼
000657,硬质合金
000657,精密零件
000657,数控刀片
000657,数控刀具
000657,整体刀具
000657,IT工具
000657,钨钼及化合物
000657,钽铌及化合物
000657,钨粉末产品
000659,饮料包装制品
000659,饮料加工
000661,聚乙二醇重组人生长激素注射液
000661,重组人生长激素
000661,注射用重组人促卵泡激素
000661,"冻干水痘减毒活疫
苗"
000661,人用狂犬病疫苗
000661,血栓心脉宁片
000661,银花泌炎灵片
000661,房地产
000661,服务业
000662,系统集成
000662,硬件及软件产品销售
000662,项目咨询及运营维护
000662,日用化妆品
000662,药品
000665,电视业务
000665,宽带
000665,节目传输
000665,广告
000665,信息化应用
000663,家具
000663,木材二次加工产品
000663,木材
000663,甲醛
000663,装饰设计费
000663,胶粘剂
000666,纺织机械
000666,金融信托
000666,资金投资
000666,非纺机
000668,租赁
000668,商品房销售
000667,房地产
000667,城中村综合改造项目收益
000667,现代农业
000669,管道(液化)天然气
000669,液化石油气
000669,管道天然气输送服务
000669,入户管道工程安装及环保工程勘察设计
000669,施工及设备销售业务
000670,芯片类业务
000670,贸易类业务
000670,服务类业务
000670,房地产业务
000672,水泥熟料
000672,水泥
000672,混凝土
000672,骨料
000671,房屋销售
000671,商品销售
000671,商管
000671,酒店
000671,教育管理
000671,建工板块
000676,互联网媒体业务和数字营销业务
000673,电视剧
000673,电影
000673,综艺节目
000673,衍生业务
000673,广告业务
000673,影院运营
000678,轴承
000678,万向节
000678,机器设备
000678,十字轴
000677,帘帆布
000679,商品零售
000679,房地产销售
000680,推土机
000680,压路机
000680,混凝土机械及零部件
000681,互联网传媒与娱乐
000681,旅游
000682,电力调度自动化系统
000682,保护及变电站自动化系统
000682,配电自动化系统
000682,智能视讯系统
000682,信息管理系统
000682,电能计量计费管理系统
000682,综合能效管理系统
000682,变频节能系统
000682,分布式电源/储能及微网保护控制系统
000682,节能型变压器
000682,新能源监控与保护
000682,电气化铁道牵引供电自动化系统
000682,汽车用电线电缆
000682,企业能源综合解决方案
000682,智慧能源解决方案
000682,充电车联网运营监控解决方案
000682,广域新能源运营监控解决方案
000683,纯碱
000683,小苏打
000683,煤炭
000683,煤制尿素
000683,天然气制甲醇
000683,玻璃
000683,白糖
000683,乙二醇
000683,石油焦
000683,聚丙烯
000683,锌精矿
000686,证券经纪
000686,证券投资咨询
000686,证券承销与保荐
000686,融资融券
000686,证券投资基金代销
000686,代销金融产品业务
000685,垃圾处理及发电
000685,环卫
000685,供水
000685,污水
000685,废液处理
000685,市场租赁业
000685,客运服务
000685,工程安装收入
000687,军事通信及配套产品
000687,IT设备业务产品
000687,纤维制造品
000687,新能源业务产品
000688,铅精矿
000688,锌精矿
000688,铜精矿
000688,硫精矿
000688,锌锭
000688,硫酸
000688,次铁精粉
000690,新能源发电
000690,建筑施工
000690,融资租赁
000691,房屋销售
000692,供热
000692,供汽
000695,蒸汽
000695,电力
000695,印刷业务
000697,钼精粉
000698,烧碱
000698,聚氯乙烯（PVC）糊树脂等；石油化工主要产品包括丙烯酸及酯类
000698,聚乙烯
000698,丙烯
000698,液体石蜡
000698,液化气
000698,聚醚及环氧丙烷
000700,塑化汽车装饰件
000700,专用装备定制
000700,房地产开发销售
000700,资产出租
000700,医疗服务收入
000700,机床铸件
000702,饲料销售
000702,饲料原料销售
000702,牲猪销售
000703,精对苯二甲酸（PTA）
000703,聚酯切片
000703,聚酯瓶片
000703,涤纶预取向丝(POY)
000703,涤纶全拉伸丝(FDY)
000703,涤纶拉伸变形丝(DTY)
000703,涤纶短纤
000705,氯诺昔康
000705,醋酸奥曲肽
000705,美他多辛
000705,丁二磺酸腺苷蛋氨酸
000705,泮托拉唑钠
000705,伏格列波糖
000705,托烷司琼
000705,克拉霉素
000705,制霉素
000705,罗红霉素
000705,硫酸西索米星
000705,硫酸奈替米星等原料药及制剂
000705,中药材
000705,中药饮片
000707,联碱及其他化工产品
000707,建材及贸易
000707,商品房销售
000707,物业
000708,轴承钢
000708,弹簧合结合工钢
000708,冲模不锈钢
000708,碳结碳工钢
000710,基础科研服务
000710,医学检测服务
000710,试剂销售
000710,设备销售
000709,板材
000709,棒材及型材
000709,线材
000709,带钢
000709,钢坯
000709,钒产品
000709,气体
000709,水电
000712,经纪
000712,投资咨询
000712,财务顾问
000712,承销与保荐
000712,证券自营
000712,资产管理
000712,基金代销
000712,期货IB
000712,直接投资
000712,融资融券
000711,生态节水运营服务
000711,园林环境科技服务
000715,商品零售
000715,服务费
000713,杂交水稻种子
000713,杂交玉米种子
000713,常规稻种子
000713,小麦种子
000713,瓜菜种子
000713,旱地除草剂
000713,杀虫剂
000713,天然薄荷脑
000713,薄荷素油
000713,复合肥料
000716,黑芝麻糊类食品
000716,黑芝麻饮品
000716,富硒食品
000717,板材
000717,工业用材
000717,建筑用材
000717,优特棒
000717,线材
000717,焦化产品
000718,房地产开发
000718,混凝土
000718,酒店
000718,影视作品
000719,图书
000719,期刊
000719,音像制品
000719,物资销售业务
000719,印刷业务
000720,电力
000720,电缆
000720,煤炭
000720,热力
000720,房屋销售
000720,租赁及物业服务
000720,供应链业务
000721,餐饮
000721,客房
000721,商品
000721,租赁
000722,电力
000722,投资管理
000722,健康产业
000722,服务业
000723,煤炭
000723,焦炭
000723,焦炭化产品
000723,天然气
000723,氢燃料电池汽车
000725,光电传感器
000725,基因测序传感器
000725,多体征传感器
000725,安防传感器
000725,分子天线
000725,整机
000725,背光模组等ODM/OEM服务和个性化智能制造解决方案
000725,B2C的画屏系统业务
000725,O+O数字艺术品交易平台
000725,便携式健康监测
000725,线上问诊
000725,线下医疗
000727,液晶显示及模组
000727,触摸屏
000727,压电石英晶体元器件
000727,磁性材料
000726,面料产品
000726,衬衣产品
000726,棉花
000726,电和汽
000728,经纪业务
000728,资产管理业务
000728,证券信用业务
000728,投行业务
000728,自营投资业务
000729,啤酒
000729,矿泉水
000729,茶饮料
000729,饲料
000732,开发的住宅地产
000732,商业地产
000732,化工
000733,专业整机与核心零部件
000733,集成电路与关键元器件
000733,高新电子
000733,现代电子商贸与园区服务
000731,尿素
000731,复合肥
000731,车用尿素
000731,天然气供应
000731,三聚氰胺
000735,生猪
000735,肉制品
000735,教育
000735,商品房
000735,冷链物流服务
000736,中房F联邦
000736,中房千寻
000736,中房瑞致
000736,中房那里
000736,中房颐园
000736,深圳百门前工业区厂房租赁管理
000737,硫化碱
000737,元明粉
000737,日化产品
000738,发动机控制系统及衍生产品
000738,国际合作
000738,非航空产品
000750,零售财富管理
000750,企业金融服务
000750,销售交易业务
000750,资产管理业务
000750,信用业务
000739,口服头孢系列中间体
000739,口服青霉素系列中间体
000739,兽药原料药中间体系列中间体
000739,精神类系列中间体
000739,心脑血管类系列中间体
000739,抗感染类制剂
000739,心脑血管类制剂
