股票代码,产品类型
000338,仓库技术及供应链解决方案服务
000401,水泥熟料
000401,各类硅酸盐水泥
000401,与水泥相关的建材
000402,房产开发
000402,物业租赁
000402,物业经营
000403,血液制品
000403,细胞培养基
000404,压缩机
000404,智能扫地机
000407,天然气业务
000407,天然气管道制造业
000407,成品油贸易业务
000408,钾肥(氯化钾)
000409,铁矿石采选
000409,黄金采选
000409,医药产品
000409,特种轮胎
000409,房地产
000409,油品加工贸易
000410,机床
000410,机床配套
000411,药品销售
000411,医疗器械
000416,典当
000416,保险经纪
000416,投资与资产管理
000416,商品零售
000415,融资租赁
000415,融资租赁咨询
000415,经营租赁
000415,集装箱租赁
000415,飞机销售
000417,百货业（含家电）
000417,超市业
000417,农产品交易市场
000417,房地产
000419,商贸零售
000419,酒店旅游
000420,化纤
000420,醋酐
000421,客运产业
000421,燃气产业
000421,房地产业
000422,尿素
000422,氯碱产品
000422,磷酸二铵
000422,精细化工产品
000422,电力产品
000422,贸易业务
000425,工程机械
000423,阿胶系列
000423,医药贸易
000426,锌精粉
000426,铁精粉
000426,铅精粉
000426,电解铜
000426,铜精粉
000426,粗铅
000426,铅锭
000428,酒店业
000428,房地产业
000428,酒店资产运营
000429,公路运输
000430,旅行社服务
000430,环保客运服务
000430,观光电车门票
000430,宝峰湖景区门票
000430,杨家界索道
000430,张国际酒店
000430,房屋租赁
000430,大庸古城游船
000488,机制纸
000488,融资租赁
000488,电力及热力
000488,建筑材料
000488,造纸化工用品
000488,酒店
000488,镁矿
000498,路桥工程施工
000498,路桥养护施工
000498,周转材料及设备租赁销售
000498,商品混凝土加工销售
000498,工程设计咨询
000501,商品销售
000502,房地产业
000502,医疗行业
000503,大健康服务
000504,节能技术服务行业
000504,生物医药行业
000504,传媒行业
000505,大豆油
000505,菜籽油
000505,葵花籽油
000505,香油
000505,麻酱
000506,房地产
000506,黄金
000509,大宗商品贸易收入
000509,医疗服务
000509,园林工程
000509,房租
000507,港口物流
000507,综合能源
000507,港城建设
000510,PVC树脂
000510,烧碱
000513,制剂
000513,原料药
000513,中间体
000513,诊断试剂
000514,住宅销售
000514,商业销售
000514,物业管理
000514,房屋租赁
000514,会议展览
000514,石黄隧道经营权
000517,房地产销售
000517,物业管理
000517,房屋租赁
000516,现代医学技术转化应用
000516,大健康医疗服务
000518,药品
000518,保健品
000518,花卉
000518,林木（不含种子木苗）
000519,超硬材料及其制品
000519,特种装备
000519,改装汽车
000519,汽车零部件
000520,干散货运输
000520,船员派遣服务
000520,资产出租
000521,家用电器
000525,除草剂
000525,杀虫剂
000525,杀菌剂
000525,动物营养
000525,日化护理
000525,中间体
000526,教育培训服务
000526,房屋租赁
000526,设备租赁
000523,工业产品
000523,民用产品
000529,冻品销售
000529,冷库经营
000529,物业出租
000529,种禽销售
000529,种猪销售
000529,肉猪销售
000529,猪苗销售
000529,肉鸡销售
000529,加工肉制品销售
000529,国内贸易
000529,图书发行
000529,酒类销售
000528,土石方机械
000528,其他工程机械及配件
000528,融资租赁
000530,制冷空调设备
000531,电力
000531,蒸汽
000531,房地产
000532,电子设备
000532,电子器件销售
000532,污水处理
000532,投资与管理
000533,变压器系列产品
000533,大宗贸易及供应链服务系列产品
000534,常州太湖庄园项目销售
000534,金属检测
000534,高温材料销售
000536,模组
000536,盖板玻璃
000536,面板
000537,房地产开发
000537,宾馆酒店服务
000537,经营租赁
000538,云南白药
000538,天然植物药
000539,售电
000539,蒸气
000539,劳务
000539,核证减排量销售
000539,租赁
000539,粉煤灰综合利用
000540,地产业务
000540,金融业务
000541,照明器材及灯具
000544,城市污水处理
000544,集中供热业务
000544,管网工程
000543,电力
000543,供热
000543,煤炭
000543,运输
000545,钛白粉
000546,建材
000546,环保
000547,通信指控产品
000547,电子蓝军及仿真产品
000547,电磁安防产品
000548,路桥收费
000548,房地产开发
000548,酒店经营
000551,高压电瓷
000551,洁净环保设备
000551,测绘仪器
000551,轴承滚针
000551,磨具磨料
000551,代理出口贸易
000550,商用车
000550,SUV
000550,相关零部件
000552,煤炭
000552,发电
000553,除草剂
000553,杀虫剂
000553,化工产品
000555,系统集成
000555,软件开发及技术服务
000554,汽油
000554,柴油
000554,天然气
000554,非油品
000557,铁路运输
000557,仓储物流
000557,葡萄酒
000557,酒店餐饮
000559,汽车零部件
000559,钢材
000559,铁合金
000558,体育运营
000558,房地产
000558,能源及贸易
000558,租赁
000560,资产管理
000560,经纪业务
000560,新房业务
000560,商品销售
000560,商业租赁及服务
000560,房地产开发
000560,物业服务
000560,旅游服务
000563,金融信托业务
000561,通信产品及配套
000561,电声器件
000565,油漆(涂料)
000564,中国集
000564,酷铺商贸
000564,掌合天下
000564,大集供销链
000564,大集金服及民生百货
000566,头孢制剂
000566,原料药
000566,中间体
000566,肠胃康
000566,医疗器械
000566,医疗服务
000567,不良资产管理
000570,柴油机
000570,汽油机
000568,酒类
000572,整车
000572,配件销售
000572,劳务
000571,食品
000571,煤炭
000571,物流运输
000571,电动车
000571,游艇销售
000576,制糖产品
000576,生化产品
000576,军工产品
000576,造纸产品
000576,LED产品
000573,出租
000573,售楼
000573,水电
000573,煤
000573,废旧铅蓄电池回收
000582,装卸堆存
000582,商品贸易销售
000582,拖轮及港务管理
000582,物流代理业务
000581,汽车燃油喷射系统
000581,汽车后处理系统
000581,进气系统
000585,输变电
000584,高端装备制造
000584,机器人一站式平台
000584,房地产
000584,氨纶
000586,光纤
000586,光缆及相关产品
000586,通信工程及系统集成
000587,黄金类业务
000587,铂金类业务
000587,白银类业务
000587,镶嵌类业务
000587,18K金饰品
000587,工艺美术品
000587,电解铜
000587,融资租赁业务
000587,短融业务
000590,医药制造
000590,医药流通
000589,轮胎销售
000589,混炼胶
000591,太阳能发电
000591,太阳能产品制造
000592,林木原木
000592,纤维板
000592,混凝土
000592,建材城开发项目
000593,商业零售
000593,燃气供应
000595,轴承
000595,船舶电器及汽车前轴
000595,煤机刮板
000596,白酒业务
000596,酒店业务
000597,维生素类药物
000597,抗感染类药物
000597,计划生育类
000597,脑循环与促智药类药物
000597,抗病毒类药物
000597,消化道类制剂产品
000597,麻精药品及含麻系列药物
000597,普药类
000597,体外诊断试剂类产品
000599,轮胎制造业
000599,机械制造业
000598,自来水制售
000598,污水处理服务
000598,供排水管网工程
000598,垃圾渗沥液处理
000598,污泥处置
000600,发电业
000600,酒店业
000600,供暖
000600,售电服务
000600,商贸流通
000601,能源（电力）
000601,生态植物纤维制品
000601,精密（智能）制造
000603,含银铅精粉
000603,含银锌精粉
000603,有色金属贸易
000603,银锭
000603,黄金
000605,原水
000605,自来水
000605,污水处理
000605,工程
000606,企业互联网服务
000606,明胶系列产品
000606,硬质胶囊
000606,肠衣
000607,广告及策划业
000607,新媒体
000607,户外广告
000607,报刊及发行
000607,信息服务
000607,教育
000608,成都锦尚中心项目
000608,北京阳光上东项目
000608,商业出租
000609,房地产
000610,旅行社
000610,酒店业
000611,纺织品
000611,铁合金
000613,旅游饮食服务
000612,电解铝
000616,房地产业务
000616,基金管理与投资业务
000616,养老业务
000615,化纤
000615,房地产
000619,塑料型材
000619,门窗
000617,银行业务
000617,财务公司业务
000617,金融租赁业务
000617,信托业务
000617,保险业务
000617,保险经纪业务
000617,证券业务
000617,信用增进业务
000620,商品房销售
000620,建筑
000620,装修业
000622,乙二醇
000622,氯化钴
000622,三元前驱体
000622,金属镍
000622,煤炭
000622,金属钴
000622,国债逆回购
000622,车用空调
000625,乘用车
000625,商用车
000623,中成药
000623,化学药品
000623,食品
000626,商品贸易
000626,物流代理
000627,保险
000627,医药
000627,化工
000629,钒
000629,钛
000629,电
000629,钢材及钢材制品
000628,建筑业，期货业务
000628,厨柜制造
000628,旅游酒店业务
000631,房地产开发
000631,物业服务管理
000631,经营性租赁
000630,有色金属
000630,化工产品
000632,建筑材料和金属材料
000632,商品房及土地开发
000632,化工产品
000632,日用百货
000632,船舶物料
000632,食品与食品加工
000632,物管
000632,租赁
000632,酒店服务
000632,旅游服务
000633,冶金行业
000635,化工
000635,酒店
000637,石油化工产品
000637,加油服务
000637,液化石油气装车服务
000636,计算机
000636,通信和其他电子设备制造业
000638,木材类
000638,钢材类
000638,咨询服务
000638,基金管理及销售 医疗软硬件
000638,系统集成销售及维护
000650,药品
000650,健康相关产品
000639,植物油
000639,营养补给品
000652,化工制品贸易
000652,金属制品贸易
000652,广陵新城项目
000652,商品房
000652,垃圾处理发电
000652,纺织滤材
000651,空调
000651,生活电器
000651,智能装备
000656,房地产销售
000656,风能投资开发
000656,物业管理
000656,酒店经营
000656,园林工程
000656,装饰工程
000656,材料销售
000655,黑色金属
000655,机械
000657,硬质合金
000657,精密零件
000657,数控刀片
000657,数控刀具
000657,整体刀具
000657,IT工具
000657,钨钼及化合物
000657,钽铌及化合物
000657,钨粉末产品
000659,饮料包装制品
000659,饮料加工
000661,房地产
000661,基因生物制药
000661,中成药
000661,服务业
000662,智慧城市
000662,日用化妆品
000662,药品
000665,有线电视产品
000663,林业
000663,人造板
000663,家具装饰
000666,纺织机械
000666,金融信托
000666,资金投资
000666,非纺机
000668,租赁
000668,商品房销售
000667,房地产
000667,城中村综合改造项目收益
000667,现代农业
000669,燃气业务
000669,环保业务
000670,芯片类业务
000670,贸易类业务
000670,服务类业务
000670,房地产业务
000672,基础建材产品
000671,房屋销售
000671,商品销售
000671,商管
000671,酒店
000671,教育管理
000671,建工板块
000676,互联网媒体业务和数字营销业务
000673,文化传媒
000673,商务服务
000678,汽车零部件
000678,机器设备
000677,帘帆布
000679,商品零售
000679,房地产销售
000680,工业产品销售
000680,商业产品销售
000681,互联网传媒与娱乐
000681,旅游
000682,电力自动化系统
000682,信息管理及电费计量系统
000682,电子设备与系统集成
000682,租赁
000683,纯碱
000683,小苏打
000683,煤炭
000683,煤制尿素
000683,天然气制甲醇
000683,玻璃
000683,白糖
000683,乙二醇
000683,石油焦
000683,聚丙烯
000683,锌精矿
000686,证券经纪
000686,证券投资咨询
000686,证券承销与保荐
000686,融资融券
000686,证券投资基金代销
000686,代销金融产品业务
000685,垃圾处理及发电
000685,环卫
000685,供水
000685,污水
000685,废液处理
000685,市场租赁业
000685,客运服务
000685,工程安装收入
000687,军事通信及配套产品
000687,IT设备业务产品
000687,纤维制造品
000687,新能源业务产品
000688,有色金属采/选
000688,有色金属矿产品贸易
000688,硫酸及其附属
000690,新能源发电
000690,建筑施工
000690,融资租赁
000691,房屋销售
000692,供热
000692,供汽
000695,蒸汽
000695,电力
000695,印刷业务
000697,钼精粉
000698,氯碱化工产品
000698,石油化工产品
000698,聚醚化工产品
000700,汽车装饰件
000700,房地
000700,铸件
000700,医疗
000702,饲料行业
000703,PTA
000703,聚酯
000703,贸易
000703,其他
000705,原料药
000705,制剂
000705,药品中成药
000707,联碱及其他化工产品
000707,建材及贸易
000707,商品房销售
000707,物业
000708,轴承钢
000708,弹簧合结合工钢
000708,冲模不锈钢
000708,碳结碳工钢
000710,基础科研服务
000710,医学产品及服务
000709,板材
000709,棒材及型材
000709,线材
000709,带钢
000709,钢坯
000709,钒产品
000709,气体
000709,水电
000712,证券业务
000711,生态节水运营服务
000711,园林环境科技服务
000715,商品零售
000713,杂交水稻种子
000713,常规水稻种子
000713,杂交玉米种子
000713,西瓜种子
000713,小麦种子
000713,农化产品
000713,复合肥料
000713,香料产品
000716,黑芝麻糊类食品
000716,黑芝麻饮品
000716,富硒食品
000717,板材
000717,工业用材
000717,建筑用材
000717,优特棒
000717,线材
000717,焦化产品
000718,房地产
000718,建筑
000718,酒店
000718,文化创意
000719,出版业务
000719,发行业务
000719,物资销售业务
000719,印刷业务
000720,电力
000720,电缆
000720,煤炭
000720,热力
000720,房屋销售
000720,租赁及物业服务
000720,供应链业务
000721,餐饮服务
000721,生产制造
000721,租赁
000722,电力
000722,投资管理
000722,健康产业
000722,服务业
000723,煤炭
000723,焦炭
000723,焦炭化产品
000723,天然气
000723,氢燃料电池汽车
000725,显示器件业务
000725,智慧系统业务
000725,健康服务业务
000727,电子元器件
000726,面料产品
000726,衬衣产品
000726,棉花
000726,电和汽
000728,经纪业务
000728,资产管理业务
000728,证券信用业务
000728,投行业务
000728,自营投资业务
000729,啤酒
000729,矿泉水
000729,茶饮料
000729,饲料
000732,开发的住宅地产
000732,商业地产
000732,化工
000733,专业整机与核心零部件
000733,集成电路与关键元器件
000733,高新电子
000733,现代电子商贸与园区服务
000731,化学肥料
000731,天然气
000731,贸易
000735,生猪
000735,肉制品
000735,教育
000735,商品房
000735,冷链物流服务
000736,地产销售
000736,工业厂房租赁
000736,管理
000737,硫化碱
000737,元明粉
000737,日化产品
000738,发动机控制系统及衍生产品
000738,国际合作
000738,非航空产品
000750,证券经纪业务
000750,投资银行业务
000750,证券自营业务
000750,证券资产管理业务
000739,原料药中间体
000739,合同研发生产
000739,制剂
000752,啤酒
000751,锌品
000751,铅
000751,有色金属贸易
000753,汽车销售
000753,自来水生产
000753,污水处理
000753,工程施工
000753,建材产品
000753,房地产开发
000755,高速公路管理与运营
000757,汽车发动机配件
000756,化学原料药
000756,制剂
000756,医药中间体
000758,承包工程
000758,有色金属产品
000758,冶金机械
000759,超市
000759,百货
000759,房地产
000760,柴油发动机及配件
000760,电池级碳酸锂
000761,钢板
000762,铬类产品
000762,铜类产品
000762,锂类产品
000762,硼类产品
000766,医药用品
000767,火电电力
000767,风电电力
000767,光伏电力
000767,热力
000767,燃煤
000767,检修服务
000767,节能技术服务
000767,技术研究服务
000767,融资租赁
000776,投资银行
000776,财富管理
000776,交易及机构
000776,投资管理
000768,航空产品
000768,运输设备工业相关产品
000768,建材工业相关产品
000768,其他产品
000778,新兴铸管
000778,新兴铸造
000778,新兴钢材
000778,新兴钢塑管
000778,新兴格板
000778,新兴特种钢管
000777,阀门
000780,煤炭
000779,服务业
000779,工程施工
000779,毛纺业
000782,切片
000782,复丝
000782,弹力丝
000783,证券经纪
000783,期货经纪
000783,证券自营
000783,投资银行
000783,资产管理
000783,资本中介
000786,纸面石膏板
000786,轻钢龙骨
000786,烤漆龙骨
000786,矿棉吸音板
000786,装饰板
000786,岩棉
000786,粒状棉
000786,涂料
000786,砂浆
000786,钢制板式散热器
000786,五金件
000786,金邦板
000786,水泥瓦
000786,型材
000786,门窗
000786,国内外建筑材料
000786,装饰材料贸易
000785,商业
000785,租赁
000788,药品
000788,医疗器械
000789,硅酸盐水泥
000789,商品混凝土
000789,新型墙材
000790,医药制造
000790,建筑钢结构
000791,电力产品
000793,传播与文化产业
000793,燃气生产和供应业
000793,数字内容服务业
000793,网络与信息安全服务业
000793,动漫产品及动漫服务业
000793,房地产销售
000792,制造业
000792,百货业
000792,酒店业
000792,运输业
000795,钕铁硼产品
000795,电机系列产品
000795,物流立体库产品
000795,消防模拟训练系统
000795,金刚石制品产品
000796,航空配餐及服务
000796,铁路配餐及服务
000796,旅游服务
000796,物业租赁
000797,建筑产品
000797,房地产开发产品
000797,商业贸易
000797,劳务
000797,技术服务
000797,物业管理
000797,租赁
000798,金枪鱼
000798,鱿鱼
000798,秋刀鱼
000798,杂鱼
000799,酒鬼系列
000799,湘泉系列
000799,内参系列
000800,整车
000800,备品及其他
000801,数字电视
000801,空管
000801,物联网
000806,生物医药领域
000806,输配电领域
000806,电子信息领域
000803,商品房
000803,汽车
000803,物业管理及经营
000803,新能源电气设备
000803,高压电极锅炉供热设备
000803,电力运维
000809,土地一级开发
000809,供水
000809,污水
000809,广告
000809,租赁
000807,铝锭
000807,铝加工产品
000811,工业产品
000811,工程施工
000811,租赁
000811,材料销售
000811,水电费
000811,售后服务
000812,烟草配套产品
000812,教育产业
000812,房地产业
000810,数字智能网络机顶盒
000810,智能网络接入终端
000810,家庭互联
000810,物联网终端
000810,支撑广电有线电视IP
000810,OTT或DVB+OTT新业务
000810,运营能力平台系统
000813,药品销售
000816,机械制造
000816,有色金属采选
000816,煤炭开采
000816,农业信息化
000815,造纸业
000815,互联网数据中心（IDC）业务收入
000819,丙烯
000819,聚丙烯
000819,MTBE
000819,液化气
000819,异丁烯
000819,无纺布
000819,邻甲酚
000820,工程总承包
000820,工程咨询设计
000820,设备销售
000821,包装自动化生产线
000821,铸造产品
000821,车用玻璃
000821,自动化生产线
000821,精密件
000821,数码打印控制系统
000821,货物贸易
000823,印制线路板
000823,液晶显示器及触摸屏
000823,超薄及特种覆铜板
000823,超声电子仪器
000823,覆铜板
000823,贸易业务
000822,纯碱
000822,溴素
000822,氯化钙
000822,原盐
000825,冶金钢铁
000826,污水处理业务
000826,自来水业务
000826,固体废物处理业务
000826,再生资源处理业务
000826,环保设备安装及技术咨询业务
000826,市政施工
000826,环卫服务业务
000826,融资租赁业务
000828,交通运输辅助业
000828,融资租赁业
000828,商业保理业
000829,通信
000829,彩票设备
000829,酒业
000831,稀土氧化物
000831,试剂
000831,技术服务
000830,化工新材料
000830,基础化工
000830,化肥
000833,制糖
000833,造纸
000833,采矿业
000833,化工
000835,炼焦行业
000835,游戏行业
000835,动漫行业
000835,旅游行业
000836,光通信网络产品
000836,系统集成工程
000838,房地产
000838,环保板块
000837,机床类
000837,零部件类
000837,工具类
000837,仪器仪表类
000837,贸易类
000839,信息及服务
000839,产品销售
000839,房地产开发及物业管理
000848,饮料
000850,纺织业务
000851,企业信息化业务
000851,信息服务业务
000851,IT销售业务
000858,制造
000856,机械设备及备件
000856,土建安装
000856,维修工程
000856,电气设备及备件
000859,塑料薄膜
000859,工程塑料
000859,新型木塑建材
000860,白酒
000860,猪肉
000860,建筑业
000860,种畜
000860,蔬菜系列
000860,市场管理
000860,房地产
000860,纸业
000860,食品加工
000861,物业出租及管理
000861,房地产
000861,百货业
000861,酒店业
000861,金融版块
000861,文化版块
000862,新能源发电
000862,新能源装备制造
000863,文化演艺
000863,房地产销售
000863,房屋租赁
000863,建筑施工
000869,葡萄酒
000869,白兰地
000868,客车
000868,汽车零部件
000875,电力
000875,热力
000877,水泥
000877,熟料
000877,混凝土
000876,饲料
000876,生猪
000876,禽
000876,食品
000880,通用设备
000881,改性高分子材料
000881,进出口贸易
000881,电子加速器及辐照加工
000882,租赁及物业管理
000882,电影放映及卖品
000882,保理服务
000885,道路通行业务
000885,水泥
000885,熟料
000885,基础设施业务
000885,服务区经营及广告业务
000885,其他建筑材料
000883,电力
000883,天然气
000883,煤炭
000883,热力
000886,房地产开发
000886,广告业务
000886,酒店业务
000886,东线高速公路养护
000887,橡胶制品
000887,混炼胶
000887,材料销售
000888,峨眉山风景区
000888,客运索道
000888,宾馆酒店服务
000888,旅行社
000890,金属制品
000890,金融业务
000889,行业短信
000889,电信分成
000889,技术开发服务
000889,维护服务
000889,流量
000889,其他(工程)
000892,电视剧及衍生品
000892,电影及衍生品
000892,艺人经纪
000892,网络游戏
000893,海运服务
000893,谷物
000893,钾肥
000895,高温肉制品
000895,低温肉制品
000895,生鲜品冻品
000897,商品销售
000897,房屋租赁
000897,房地产销售
000897,物业管理
000899,电力
000898,钢材产品
000900,通行费
000900,商品贸易
000901,航天制造
000901,仪表制造
000901,环保服务
000901,电力设备制造
000903,柴油机
000903,智能化产品
000902,磷肥
000902,常规复合肥
000902,新型复合肥
000905,散杂货码头装卸
000905,相关综合物流服务
000905,商品贸易
000905,建材
000906,建筑用材
000906,工业用材
000906,炉料
000906,煤炭焦炭
000906,有色金属
000906,化工产品
000906,其他商品
000906,汽车及相关服务
000909,电子信息类
000909,房地产类
000909,商贸类
000908,注射剂
000908,固体制剂
000908,原料药
000910,人造板
000910,地板
000911,机制糖
000911,机制纸
000911,运输业
000912,肥料
000912,化工产品
000915,医药产品
000915,环保设备及工程
000915,电子信息产品
000915,科技园区管理
000915,教育
000915,晶体材料
000915,道路及建筑材料
000913,摩托车及配件
000913,房地产开发
000918,房屋销售
000918,商品销售
000918,物业管理
000918,影视放映
000917,有线网络业务
000917,传媒内容业务
000917,投资管理业务
000917,旅游酒店业务
000917,互联网新媒体业务
000920,膜产品
000920,棕纤维产品
000920,净水产品
000919,脉络宁注射液
000919,香菇多糖注射液
000921,电器产品
000922,防爆电机
000922,普通电机
000922,配件修理
000925,半导体制造
000925,脱硫脱销环保
000925,轨道交通
000925,节能服务
000925,水处理
000923,精铜
000923,磁铁矿
000923,蛭石
000923,其他
000923,专用设备制造业
000926,房地产
000926,金属制品
000927,轿车销售
000927,发动机销售
000927,备件销售
000927,提供劳务
000929,啤酒
000929,饮料
000929,大麦麦芽
000928,国内外贸易
000928,工程总承包
000928,服务业务
000930,农产品加工及销售
000931,生物医药
000931,房地产建筑
000931,物业管理
000932,宽厚板
000932,热轧卷板
000932,冷轧卷板
000932,线棒材
000932,螺纹钢
000932,无缝钢管
000933,采掘业
000933,有色金属
000933,电解铝深加工
000933,贸易
000933,房地产
000935,水泥
000935,私募股权投资管理
000935,体育培训
000937,煤炭
000937,电力
000937,建材
000937,化工
000936,纺织化纤
000936,仓储
000936,投资管理
000938,以太网交换机
000938,路由器
000938,无线网络
000938,SDN/NFV
000938,运维管理软件
000938,安全产品线
000938,云计算产品线
000938,计算存储产品线
000948,软件和信息技术服务
000949,粘胶长丝
000949,粘胶短纤维
000949,氨纶纤维
000950,医药批发
000950,医药零售
000950,医药工业
000950,化工制造与流通
000951,汽车制造业
000952,原料系列
000952,制剂系列
000953,尿素
000953,液氨
000953,甲醇
000953,氨水
000955,水刺产品
000955,无纺深加工产品
000955,热轧及服衬产品
000955,熔纺无纺布
000955,磷化工产品
000955,贸易业务
000955,医疗收入
000957,客车制造业
000958,电力销售
000958,热力销售
000958,接网费摊销
000958,租赁
000958,材料销售
000958,粉煤灰销售
000959,冶金
000959,煤炭
000960,锡锭
000960,锡材
000960,锡化工
000960,铜产品
000960,锌精矿
000960,贸易产品
000961,房地产开发
000961,建筑工程施工
000961,酒店管理
000961,商业服务
000962,有色金属材料
000963,医药
000963,医药器械
000965,房地产销售
000965,物业出租
000965,物业管理
000966,电力
000966,热力
000966,煤炭
000967,环境监测
000967,环境综合治理
000967,高端装备制造
000968,煤层气销售
000968,气井建造工程
000968,煤矿瓦斯治理
000969,金属材料及制品
000970,磁材产品
000970,电动自行车
000971,云基础服务
000973,渗析材料
000973,光电材料
000973,阻隔材料
000972,大桶番茄酱
000972,小包装番茄制品
000972,租赁服务
000972,材料销售
000976,高铁配件产品
000975,合质金（含银）
000975,含银铅精矿（银单独计价）
000975,锌精矿
000977,服务器及部件
000977,IT终端及散件
000978,旅游服务
000978,公路客运站场(琴潭站)
000978,车辆检测
000980,交通运输设备制造业
000980,家具制造业
000982,纺织行业
000981,汽车零部件
000981,房产销售
000983,煤炭
000983,电力热力
000983,焦炭
000983,煤气
000983,焦油
000985,轻芳烃（AS1)
000985,聚丙烯
000985,乙烯焦油
000985,加氢戊烯
000985,间戊二烯石油树脂
000985,粗异戊二烯
000985,双环戊二烯
000985,深色石油树脂
000985,粗间戊二烯
000985,粗异戊烯
000987,金融业务
000987,百货业务
000988,激光加工及系列成套设备
000988,光电器件系列产品
000988,激光全息防伪系列产品
000988,敏感元器件
000988,计算机及系统集成
